100000 5073
200000 9548
300000 12886
400000 15580
500000 18081
600000 20092
700000 22220
800000 24288
900000 26008
1000000 28028
1100000 29734
1200000 30893
1300000 32676
1400000 34281
1500000 35828
1600000 37160
1700000 38684
1800000 40298
1900000 42090
2000000 43393
2100000 44745
2200000 46305
2300000 47370
2400000 48798
2500000 49952
2600000 51328
2700000 52258
2800000 53953
2900000 55055
3000000 55882
3100000 57051
3200000 58668
3300000 60320
3400000 61322
3500000 62858
3600000 64057
3700000 65515
3800000 66460
3900000 67864
4000000 69116
4100000 70255
4200000 71620
4300000 73192
4400000 74377
4500000 76066
4600000 76766
4700000 78415
4800000 79852
4900000 81171
5000000 82692
5100000 83763
5200000 85329
5300000 86762
5400000 88085
5500000 89749
5600000 90867
5700000 92584
5800000 94133
5900000 95922
6000000 97529
